"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-11-30,"Pocatello, ID","ID",347,689,0.00291120815138282,0.0102639296187683,-0.0157142857142857,1067
2016-11-30,"Grants Pass, OR","OR",348,1109,-0.0026978417266187,-0.0203180212014134,0.0422932330827068,1206
2016-11-30,"Plattsburgh, NY","NY",349,1521,-0.000657030223390276,-0.00327653997378768,-0.0281150159744409,1775
2016-11-30,"Manitowoc, WI","WI",350,755,-0.00264200792602378,-0.050314465408805,-0.0724815724815725,1629
2016-11-30,"Great Falls, MT","MT",351,1115,-0.00800711743772242,-0.0295909486510009,-0.0270506108202443,1725
2016-11-30,"Portsmouth, OH","OH",352,812,0.00619578686493185,0.00995024875621891,-0.00490196078431373,194
2016-11-30,"Oak Harbor, WA","WA",353,1111,0.0183318056828598,0.0481132075471698,0.125633232016211,2287
2016-11-30,"Chillicothe, OH","OH",354,1003,0.000998003992015968,0.0131313131313131,0.0902173913043478,599
2016-11-30,"Hinesville, GA","GA",355,794,0.00633713561470215,0.0166453265044814,0.00126103404791929,925
2016-11-30,"Somerset, PA","PA",356,975,-0.00611620795107034,-0.0327380952380952,-0.0356083086053412,232
2016-11-30,"Stillwater, OK","OK",357,1046,0.00287631831255992,-0.00570342205323194,0,257
2016-11-30,"Keene, NH","NH",358,1270,0.00474683544303797,-0.0223248652809854,-0.00157232704402516,2212
2016-11-30,"Sandusky, OH","OH",359,1122,0.0108108108108108,0.0209281164695177,-0.0226480836236934,4403
2016-11-30,"Searcy, AR","AR",360,771,-0.00129533678756477,-0.0089974293059126,-0.00644329896907216,315
2016-11-30,"Columbus, IN","IN",361,1144,-0.00866551126516464,0.0150842945874002,0.224839400428266,1448
2016-11-30,"Roanoke Rapids, NC","NC",362,842,0.00118906064209275,-0.0105757931844888,-0.00824499411071849,163
2016-11-30,"Helena, MT","MT",363,1069,-0.00834879406307978,-0.0138376383763838,0.0318532818532819,2541
2016-11-30,"Wisconsin Rapids-Marshfield, WI","WI",364,720,0.00278551532033426,-0.0177353342428377,-0.0538764783180026,146
2016-11-30,"Palatka, FL","FL",365,1102,-0.0169491525423729,-0.00361663652802893,-0.0299295774647887,268
2016-11-30,"Seneca, SC","SC",366,1052,0.00381679389312977,0.0253411306042885,-0.0177404295051354,327
2016-11-30,"Mount Airy, NC","NC",367,1044,-0.000956937799043062,-0.0141643059490085,-0.0160226201696513,701
2016-11-30,"Key West, FL","FL",368,2789,0.00251617541337168,-0.0148357470858354,-0.0346140533056421,12860
2016-11-30,"Aberdeen, WA","WA",369,703,0.0323054331864905,0.0384047267355982,0.0950155763239875,4550
2016-11-30,"Port Angeles, WA","WA",370,1246,0.00564971751412429,-0.0142405063291139,0.0289017341040462,1646
2016-11-30,"Greenfield Town, MA","MA",371,1629,0.00246153846153846,-0.00244947948560931,0.0303605313092979,3559
2016-11-30,"Muskogee, OK","OK",372,816,-0.0144927536231884,-0.0285714285714286,0.00245700245700246,409
2016-11-30,"Frankfort, KY","KY",373,761,0.0228494623655914,0.0297699594046008,-0.0558312655086849,1279
2016-11-30,"Mount Pleasant, MI","MI",374,805,-0.0242424242424242,0.0254777070063694,0.0333761232349166,318
2016-11-30,"Statesboro, GA","GA",375,796,-0.0087173100871731,0.0192061459667093,0.211567732115677,801
2016-11-30,"Marion, IN","IN",376,1015,0,-0.00975609756097561,0.0315040650406504,833
2016-11-30,"North Wilkesboro, NC","NC",377,766,0.005249343832021,0.00393184796854522,-0.0388958594730238,241
2016-11-30,"Richmond, IN","IN",378,645,-0.00309119010819165,0.0078125,-0.043026706231454,827
2016-11-30,"Greeneville, TN","TN",379,907,0.00554323725055432,0.0179573512906846,0.0875299760191846,679
2016-11-30,"Lake City, FL","FL",380,1062,-0.00932835820895522,-0.0568383658969805,-0.0475336322869955,378
2016-11-30,"Marquette, MI","MI",381,818,0.0136307311028501,0.00615006150061501,0.0328282828282828,364
2016-11-30,"LaGrange, GA","GA",382,806,-0.00123915737298637,0.0189633375474083,0.0112923462986198,760
